pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cazaquistão,240.0,198.0,258.0,264.0,270.0,283.0,317.0,352.0,358.0,368.0,413.0,495.0,544.0,540.0,552.0
Quênia,33.0,30.0,31.0,44.0,47.0,53.0,57.0,59.0,58.0,58.0,60.0,73.0,80.0,71.0,71.0
Kiribati,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreia do Sul,305.0,276.0,220.0,234.0,249.0,276.0,310.0,328.0,383.0,407.0,371.0,386.0,422.0,491.0,491.0
Quirguistão,24.0,25.0,24.0,25.0,25.0,27.0,31.0,29.0,31.0,36.0,37.0,39.0,37.0,34.0,34.0
Laos,8.0,9.0,11.0,12.0,14.0,16.0,19.0,24.0,26.0,28.0,20.0,12.0,14.0,16.0,16.0
Letônia,104.0,93.0,82.0,19.0,21.0,22.0,38.0,99.0,144.0,151.0,145.0,83.0,83.0,83.0,83.0
Líbano,99.0,80.0,63.0,59.0,63.0,76.0,84.0,83.0,91.0,97.0,91.0,89.0,88.0,88.0,88.0
Lesoto,1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,12.0,11.0,15.0,11.0,10.0,15.0,15.0
Libéria,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,10.0,13.0,10.0,8.0,8.0
Líbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Lituânia,58.0,151.0,228.0,263.0,310.0,332.0,356.0,381.0,368.0,352.0,359.0,356.0,359.0,344.0,344.0
Luxemburgo,241.0,266.0,258.0,271.0,257.0,266.0,262.0,271.0,266.0,260.0,258.0,272.0,275.0,257.0,257.0
Macau,24.0,31.0,43.0,53.0,65.0,67.0,51.0,43.0,51.0,54.0,51.0,47.0,44.0,36.0,36.0
Madagascar,82.0,85.0,89.0,90.0,93.0,97.0,93.0,90.0,85.0,82.0,84.0,90.0,91.0,88.0,88.0
Malawi,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,18.0,18.0,2.0,2.0
Malásia,35.0,41.0,37.0,47.0,45.0,33.0,36.0,49.0,61.0,69.0,88.0,92.0,78.0,62.0,62.0
Maldivas,11.0,12.0,12.0,12.0,14.0,14.0,13.0,14.0,13.0,14.0,15.0,18.0,21.0,22.0,22.0
Mali,3.0,3.0,3.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,4.0,5.0,12.0,19.0,19.0
Malta,79.0,66.0,73.0,65.0,60.0,65.0,62.0,60.0,67.0,72.0,79.0,72.0,69.0,48.0,42.0
Martinica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritânia,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maurício,17.0,19.0,16.0,18.0,19.0,17.0,17.0,19.0,20.0,22.0,23.0,23.0,22.0,16.0,16.0
México,508.0,548.0,574.0,614.0,857.0,882.0,944.0,928.0,1011.0,1073.0,1094.0,1193.0,1216.0,1109.0,1080.0
Moldávia,558.0,605.0,299.0,400.0,400.0,301.0,400.0,400.0,406.0,264.0,291.0,454.0,228.0,329.0,329.0
Mongólia,13.0,16.0,14.0,14.0,20.0,23.0,19.0,16.0,16.0,14.0,15.0,20.0,20.0,18.0,18.0
Montenegro,81.0,122.0,134.0,134.0,103.0,102.0,123.0,84.0,61.0,61.0,67.0,68.0,62.0,52.0,37.0
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marrocos,332.0,310.0,379.0,355.0,373.0,397.0,422.0,395.0,339.0,334.0,360.0,480.0,579.0,596.0,585.0
Moçambique,13.0,17.0,21.0,23.0,57.0,70.0,74.0,81.0,72.0,120.0,199.0,268.0,161.0,24.0,24.0
Mianmar,9.0,10.0,20.0,16.0,26.0,32.0,35.0,42.0,46.0,53.0,57.0,57.0,57.0,57.0,57.0
Namíbia,120.0,55.0,69.0,69.0,61.0,139.0,310.0,464.0,544.0,472.0,394.0,266.0,257.0,381.0,381.0
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,5.0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0
Países Baixos,3564.0,3568.0,3568.0,3500.0,3289.0,3157.0,3323.0,3426.0,3452.0,3636.0,3729.0,3573.0,3532.0,3650.0,3774.0
Antilhas Holandesas,22.0,20.0,30.0,32.0,32.0,33.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Caledônia,64.0,67.0,66.0,64.0,68.0,68.0,68.0,71.0,78.0,68.0,55.0,50.0,43.0,44.0,44.0
Nova Zelândia,918.0,874.0,927.0,921.0,939.0,919.0,925.0,906.0,960.0,934.0,920.0,927.0,912.0,950.0,950.0
Nicarágua,9.0,8.0,8.0,9.0,9.0,10.0,12.0,12.0,13.0,14.0,12.0,11.0,11.0,11.0,11.0
Níger,6.0,6.0,4.0,8.0,9.0,9.0,8.0,7.0,6.0,8.0,8.0,5.0,7.0,10.0,10.0
Nigéria,63.0,258.0,130.0,213.0,243.0,328.0,375.0,370.0,334.0,233.0,192.0,230.0,264.0,279.0,279.0
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noruega,658.0,674.0,698.0,729.0,741.0,749.0,759.0,773.0,780.0,764.0,761.0,772.0,789.0,1052.0,1066.0
Paquistão,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panamá,31.0,35.0,35.0,36.0,39.0,45.0,43.0,45.0,36.0,37.0,38.0,4.0,6.0,1.0,1.0
Papua-Nova Guiné,3.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,23.0,30.0,21.0,26.0,30.0,27.0,27.0
Paraguai,417.0,564.0,417.0,396.0,342.0,289.0,235.0,179.0,160.0,204.0,246.0,247.0,249.0,251.0,251.0
Peru,683.0,722.0,586.0,597.0,660.0,729.0,765.0,796.0,824.0,836.0,846.0,891.0,906.0,885.0,901.0
Filipinas,74.0,99.0,97.0,116.0,115.0,108.0,105.0,144.0,171.0,198.0,207.0,207.0,213.0,228.0,228.0
Polônia,869.0,905.0,823.0,873.0,934.0,928.0,949.0,1014.0,1056.0,1113.0,1197.0,1244.0,1258.0,1280.0,1332.0
Portugal,4526.0,4568.0,4514.0,4725.0,4802.0,4994.0,4164.0,4289.0,4813.0,4686.0,5248.0,5140.0,5390.0,4626.0,4600.0
Macedônia do Norte,120.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,252.0,400.0,103.0,99.0,266.0,265.0,400.0
Turquia,203.0,366.0,461.0,595.0,586.0,564.0,622.0,629.0,636.0,513.0,664.0,772.0,748.0,681.0,775.0
Reunião,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romênia,5539.0,5466.0,6066.0,5070.0,4137.0,4302.0,4559.0,4681.0,3991.0,3818.0,4140.0,3899.0,2243.0,2558.0,3709.0
Rússia,12610.0,12892.0,11895.0,10743.0,12564.0,11598.0,10555.0,9881.0,9658.0,10086.0,10415.0,9876.0,9968.0,10267.0,10472.0
Ruanda,1.0,0.0,3.0,3.0,5.0,5.0,6.0,8.0,9.0,12.0,17.0,17.0,15.0,17.0,17.0
Santa Helena,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Cristóvão e Nevis,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
Santa Lúcia,15.0,9.0,11.0,11.0,10.0,10.0,7.0,9.0,7.0,6.0,8.0,12.0,22.0,22.0,22.0
Saint-Pierre e Miquelon,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
São Vicente e Granadinas,2.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
