pais,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
Suíça,3.64,3.35,4.11,4.81,4.41,4.49,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82,5.1
Síria,8.42,10.94,8.14,8.61,8.626,8.856,8.863,8.744,8.721,8.765,8.747,8.746,8.742,10.011,9.816
Tajiquistão,12.365,11.978,11.5,10.889,10.239,9.573,8.904,8.227,7.552,6.9,6.949,7.001,7.044,7.485,7.744
Tanzânia,3.024,2.77,2.5,2.99,3.47,3.256,2.93,2.12,2.144,2.151,2.168,2.203,2.214,2.78,2.74
Tailândia,1.18,1.18,1.49,0.62,0.66,0.58,0.25,0.58,0.6,0.69,0.83,0.77,0.72,1.1,0.992
Timor-Leste,3.353,3.321,3.313,3.3,3.549,3.777,4.014,4.213,4.451,4.66,4.749,4.718,4.452,4.804,4.975
Togo,3.815,3.329,2.875,2.427,1.98,2.034,2.09,2.145,2.2,2.965,3.74,3.723,3.707,4.028,4.175
Tonga,1.183,1.212,1.479,1.467,1.453,1.661,1.768,1.826,1.941,1.904,2.074,2.25,2.244,2.654,2.669
Trinidad e Tobago,5.54,4.63,5.28,4.03,3.43,3.72,2.68,2.48,2.43,3.21,3.309,3.405,3.52,4.21,4.45
Tunísia,12.36,12.44,13.29,13.05,18.33,17.63,15.93,14.26,15.16,15.56,15.33,15.46,15.13,16.373,16.264
Turquia,8.87,9.71,12.55,10.66,8.8,8.15,8.73,9.88,10.24,10.84,10.82,10.89,13.67,13.11,11.98
Turcomenistão,5.739,4.943,4.0,4.0,4.087,4.077,4.096,4.126,4.114,4.14,4.171,4.196,4.226,4.799,4.787
Ilhas Turks e Caicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,2.724,3.143,3.6,3.587,3.491,3.55,1.91,2.323,2.749,3.183,3.64,3.571,3.554,4.511,4.295
Ucrânia,6.35,6.36,8.84,8.1,7.85,7.53,7.17,9.27,9.14,9.35,9.5,8.8,8.19,9.48,9.83
Emirados Árabes Unidos,2.86,2.721,2.668,2.464,2.284,2.171,2.032,1.902,1.763,1.64,2.46,2.24,2.33,4.29,3.11
Reino Unido,5.26,5.62,7.54,7.79,8.04,7.88,7.52,6.11,5.3,4.81,4.33,4.0,3.74,4.472,4.826
